month_date,ending_stocks_1000mt,exports_1000mt,industrial_consumption_1000mt,production_1000mt,biodiesel_share_pct
2015-10-01,2863.0,22906.0,3700.0,32000.0,11.56
2015-11-01,2863.0,22906.0,3700.0,32000.0,11.56
2015-12-01,2863.0,22906.0,3700.0,32000.0,11.56
2016-01-01,2863.0,22906.0,3700.0,32000.0,11.56
2016-02-01,2863.0,22906.0,3700.0,32000.0,11.56
2016-03-01,2863.0,22906.0,3700.0,32000.0,11.56
2016-04-01,2863.0,22906.0,3700.0,32000.0,11.56
2016-05-01,2863.0,22906.0,3700.0,32000.0,11.56
2016-06-01,2863.0,22906.0,3700.0,32000.0,11.56
2016-07-01,2863.0,22906.0,3700.0,32000.0,11.56
2016-08-01,2863.0,22906.0,3700.0,32000.0,11.56
2016-09-01,2863.0,22906.0,3700.0,32000.0,11.56
2016-10-01,2110.0,27633.0,3500.0,36000.0,9.72
2016-11-01,2110.0,27633.0,3500.0,36000.0,9.72
2016-12-01,2110.0,27633.0,3500.0,36000.0,9.72
2017-01-01,2110.0,27633.0,3500.0,36000.0,9.72
2017-02-01,2110.0,27633.0,3500.0,36000.0,9.72
2017-03-01,2110.0,27633.0,3500.0,36000.0,9.72
2017-04-01,2110.0,27633.0,3500.0,36000.0,9.72
2017-05-01,2110.0,27633.0,3500.0,36000.0,9.72
2017-06-01,2110.0,27633.0,3500.0,36000.0,9.72
2017-07-01,2110.0,27633.0,3500.0,36000.0,9.72
2017-08-01,2110.0,27633.0,3500.0,36000.0,9.72
2017-09-01,2110.0,27633.0,3500.0,36000.0,9.72
2017-10-01,3089.0,26967.0,5725.0,39500.0,14.49
2017-11-01,3089.0,26967.0,5725.0,39500.0,14.49
2017-12-01,3089.0,26967.0,5725.0,39500.0,14.49
2018-01-01,3089.0,26967.0,5725.0,39500.0,14.49
2018-02-01,3089.0,26967.0,5725.0,39500.0,14.49
2018-03-01,3089.0,26967.0,5725.0,39500.0,14.49
2018-04-01,3089.0,26967.0,5725.0,39500.0,14.49
2018-05-01,3089.0,26967.0,5725.0,39500.0,14.49
2018-06-01,3089.0,26967.0,5725.0,39500.0,14.49
2018-07-01,3089.0,26967.0,5725.0,39500.0,14.49
2018-08-01,3089.0,26967.0,5725.0,39500.0,14.49
2018-09-01,3089.0,26967.0,5725.0,39500.0,14.49
2018-10-01,2909.0,28279.0,7450.0,41500.0,17.95
2018-11-01,2909.0,28279.0,7450.0,41500.0,17.95
2018-12-01,2909.0,28279.0,7450.0,41500.0,17.95
2019-01-01,2909.0,28279.0,7450.0,41500.0,17.95
2019-02-01,2909.0,28279.0,7450.0,41500.0,17.95
2019-03-01,2909.0,28279.0,7450.0,41500.0,17.95
2019-04-01,2909.0,28279.0,7450.0,41500.0,17.95
2019-05-01,2909.0,28279.0,7450.0,41500.0,17.95
2019-06-01,2909.0,28279.0,7450.0,41500.0,17.95
2019-07-01,2909.0,28279.0,7450.0,41500.0,17.95
2019-08-01,2909.0,28279.0,7450.0,41500.0,17.95
